time,id,s2,s3,Qa3,Qa4,Qa8,Qa10,Qa16,index1,index1a,index1b,Qa3n,Qa4n,Qa8n,Qa10n,Qa16n,index1n,index1an,index1bn
200704,22,2,59,100,100,100,100,50,70.2960243692884,66.0269389911084,72.6427429899753,50,100,100,100,100,70.2960243692884,66.0269389911084,72.6427429899753
200704,40,2,28,150,150,150,150,100,109.349371241115,110.044898318514,108.964114484963,150,100,100,200,100,101.53870186675,110.044898318514,96.8569906533004
200704,45,1,55,100,50,50,100,200,78.1066937436538,132.053877982217,48.4284953266502,150,100,150,150,100,101.53870186675,110.044898318514,96.8569906533004
200704,69,1,26,150,200,150,50,100,101.53870186675,110.044898318514,96.8569906533004,150,100,150,200,200,124.970709989846,154.06285764592,108.964114484963
200704,98,1,63,100,200,150,150,100,109.349371241115,88.0359186548112,121.071238316626,150,150,100,0,100,78.1066937436538,110.044898318514,60.5356191583127
200704,104,1,35,200,200,100,100,50,101.53870186675,110.044898318514,96.8569906533004,100,100,150,150,100,93.7280324923846,88.0359186548112,96.8569906533004
200704,138,1,27,100,150,100,100,100,85.9173631180192,88.0359186548112,84.7498668216379,100,100,150,150,100,93.7280324923846,88.0359186548112,96.8569906533004
200704,152,2,32,50,150,150,150,100,93.7280324923846,66.0269389911084,108.964114484963,100,50,150,150,100,85.9173631180192,88.0359186548112,84.7498668216379
200704,177,1,60,100,100,100,100,200,93.7280324923846,132.053877982217,72.6427429899753,0,0,50,200,150,62.4853549949231,66.0269389911084,60.5356191583127
200704,180,1,40,100,100,100,100,50,70.2960243692884,66.0269389911084,72.6427429899753,50,50,100,100,100,62.4853549949231,66.0269389911084,60.5356191583127
200704,222,1,50,150,100,100,150,100,93.7280324923846,110.044898318514,84.7498668216379,50,100,150,100,100,78.1066937436538,66.0269389911084,84.7498668216379
200704,255,2,26,100,100,100,100,150,85.9173631180192,110.044898318514,72.6427429899753,150,100,100,50,150,85.9173631180192,132.053877982217,60.5356191583127
